"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.7","48.6","52.8","4476","Overall","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","48.2","45.2","51.2","2081","Male","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","53.4","50.4","56.4","2395","Female","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","20.5","18.8","22.2","4267","Overall","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.1","19.5","24.7","1959","Male","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.8","16.5","21.1","2308","Female","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.7","23.9","27.5","4267","Overall","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","27.9","25.2","30.6","1959","Male","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","23.3","21.0","25.6","2308","Female","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","53.8","51.7","55.9","4267","Overall","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.0","46.9","53.1","1959","Male","All Ages","All Races","All Grades"
"2012","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","57.9","55.1","60.7","2308","Female","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.9","20.9","24.9","3513","Overall","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.9","20.0","25.8","1621","Male","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","23.0","20.2","25.8","1892","Female","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","27.9","25.8","30.0","3513","Overall","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","30.8","27.6","34.0","1621","Male","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.9","22.2","27.6","1892","Female","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","49.1","46.7","51.5","3513","Overall","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","46.2","42.6","49.8","1621","Male","All Ages","All Races","All Grades"
"2011","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","52.2","49.0","55.4","1892","Female","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","14.0","12.8","15.2","7598","Overall","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.2","14.2","18.2","3085","Male","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","12.0","10.6","13.4","4513","Female","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.0","23.7","26.3","7598","Overall","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","29.3","27.2","31.4","3085","Male","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.9","19.3","22.5","4513","Female","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","60.9","59.3","62.5","7598","Overall","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","54.5","52.0","57.0","3085","Male","All Ages","All Races","All Grades"
"2015","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","67.1","65.1","69.1","4513","Female","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.5","15.4","17.6","14002","Overall","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.2","17.4","21.0","5619","Male","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","13.9","12.6","15.2","8383","Female","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.5","25.3","27.7","14002","Overall","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","31.0","29.1","32.9","5619","Male","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","22.2","20.8","23.6","8383","Female","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","57.0","55.6","58.4","14002","Overall","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","49.8","47.7","51.9","5619","Male","All Ages","All Races","All Grades"
"2014","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","63.9","62.2","65.6","8383","Female","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.3","14.3","18.3","4111","Overall","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.3","16.0","22.6","1689","Male","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","13.5","11.2","15.8","2422","Female","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.0","23.8","28.2","4111","Overall","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","29.7","26.0","33.4","1689","Male","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","22.5","19.9","25.1","2422","Female","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","57.6","54.9","60.3","4111","Overall","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","51.0","46.8","55.2","1689","Male","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","64.0","60.8","67.2","2422","Female","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.1","15.6","18.6","7140","Overall","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.6","17.2","22.0","2921","Male","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","14.7","12.9","16.5","4219","Female","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.9","25.3","28.5","7140","Overall","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","31.3","28.7","33.9","2921","Male","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","22.6","20.6","24.6","4219","Female","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","56.0","54.1","57.9","7140","Overall","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","49.1","46.2","52.0","2921","Male","All Ages","All Races","All Grades"
"2012","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","62.7","60.3","65.1","4219","Female","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.3","17.3","21.3","6435","Overall","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.0","18.1","23.9","2500","Male","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.5","14.7","20.3","3935","Female","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.9","23.0","26.8","6435","Overall","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","28.7","25.6","31.8","2500","Male","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.1","19.0","23.2","3935","Female","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","55.9","53.6","58.2","6435","Overall","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.3","46.8","53.8","2500","Male","All Ages","All Races","All Grades"
"2011","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","61.3","58.3","64.3","3935","Female","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","24.9","22.6","27.2","5042","Overall","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","27.8","24.1","31.5","1848","Male","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.1","19.3","24.9","3194","Female","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.1","22.2","26.0","5042","Overall","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","27.9","24.8","31.0","1848","Male","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.4","18.2","22.6","3194","Female","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","51.1","48.7","53.5","5042","Overall","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","44.3","40.5","48.1","1848","Male","All Ages","All Races","All Grades"
"2015","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","57.5","54.5","60.5","3194","Female","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","24.7","22.7","26.7","4925","Overall","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","26.2","23.1","29.3","1799","Male","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","23.4","20.9","25.9","3126","Female","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.2","23.5","26.9","4925","Overall","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","30.4","27.5","33.3","1799","Male","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.3","18.4","22.2","3126","Female","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.0","47.8","52.2","4925","Overall","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","43.4","40.0","46.8","1799","Male","All Ages","All Races","All Grades"
"2014","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","56.3","53.6","59.0","3126","Female","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.9","24.1","27.7","5101","Overall","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","26.7","23.8","29.6","1945","Male","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.2","22.9","27.5","3156","Female","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.0","23.4","26.6","5101","Overall","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","31.9","29.1","34.7","1945","Male","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","18.5","16.7","20.3","3156","Female","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","49.1","47.1","51.1","5101","Overall","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","41.4","38.3","44.5","1945","Male","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","56.2","53.7","58.7","3156","Female","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.0","23.3","26.7","5079","Overall","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","27.5","24.8","30.2","1912","Male","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.8","20.6","25.0","3167","Female","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.1","22.6","25.6","5079","Overall","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","28.2","25.8","30.6","1912","Male","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.4","18.6","22.2","3167","Female","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.8","48.9","52.7","5079","Overall","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","44.3","41.3","47.3","1912","Male","All Ages","All Races","All Grades"
"2012","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","56.9","54.5","59.3","3167","Female","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","27.0","24.8","29.2","4714","Overall","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","28.9","25.4","32.4","1694","Male","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.2","22.6","27.8","3020","Female","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.1","23.3","26.9","4714","Overall","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","28.6","25.7","31.5","1694","Male","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.8","19.6","24.0","3020","Female","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","47.9","45.6","50.2","4714","Overall","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","42.6","39.0","46.2","1694","Male","All Ages","All Races","All Grades"
"2011","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","53.0","50.2","55.8","3020","Female","All Ages","All Races","All Grades"
