"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","14.1","12.0","16.2","1409","Female","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","61.5","59.4","63.6","2580","Overall","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","55.2","52.1","58.3","1171","Male","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","67.3","64.5","70.1","1409","Female","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.1","17.4","20.8","2909","Overall","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.7","19.0","24.4","1234","Male","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.0","14.8","19.2","1675","Female","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","17.0","15.3","18.7","2909","Overall","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.4","21.5","27.3","1234","Male","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","11.3","9.4","13.2","1675","Female","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","63.9","61.8","66.0","2909","Overall","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","53.9","50.6","57.2","1234","Male","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","71.8","69.1","74.5","1675","Female","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.2","20.5","23.9","3577","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.9","23.3","28.5","1630","Male","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.0","16.8","21.2","1947","Female","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.1","17.5","20.7","3577","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.2","22.6","27.8","1630","Male","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","13.8","11.9","15.7","1947","Female","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","58.7","56.6","60.7","3577","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","49.0","46.0","51.9","1630","Male","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","67.2","64.6","69.8","1947","Female","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.3","20.8","23.8","3166","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","24.6","22.4","26.8","1471","Male","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","20.2","18.2","22.1","1695","Female","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.6","18.2","21.0","3166","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.1","23.8","28.3","1471","Male","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","13.6","11.9","15.3","1695","Female","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","58.1","56.4","59.9","3166","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","49.3","46.8","51.9","1471","Male","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","66.3","63.9","68.6","1695","Female","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.2","14.4","18.0","2622","Overall","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.7","16.0","21.4","1246","Male","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","13.5","11.6","15.5","1376","Female","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","22.9","20.8","25.0","2622","Overall","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.5","21.6","27.4","1246","Male","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.1","18.6","23.7","1376","Female","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","60.9","58.8","63.1","2622","Overall","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","56.7","53.8","59.7","1246","Male","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","65.3","62.5","68.2","1376","Female","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.6","16.8","22.4","2742","Overall","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.4","18.3","24.5","1260","Male","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.7","14.5","20.9","1482","Female","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.8","18.2","21.4","2742","Overall","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.0","18.9","23.1","1260","Male","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","18.7","16.5","20.9","1482","Female","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","60.6","57.1","64.1","2742","Overall","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","57.5","53.8","61.2","1260","Male","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","63.7","59.7","67.7","1482","Female","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.7","20.7","24.7","2941","Overall","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","24.1","21.1","27.1","1432","Male","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.3","18.5","24.1","1509","Female","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","22.6","20.6","24.6","2941","Overall","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.4","22.4","28.4","1432","Male","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.7","17.0","22.4","1509","Female","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","54.8","52.4","57.2","2941","Overall","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.5","47.0","54.0","1432","Male","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","59.0","55.6","62.4","1509","Female","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","24.4","22.4","26.4","2370","Overall","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","28.3","25.2","31.4","1069","Male","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.0","18.4","23.6","1301","Female","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","23.9","21.9","25.9","2370","Overall","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.9","23.8","30.0","1069","Male","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.2","18.6","23.8","1301","Female","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","51.8","49.4","54.2","2370","Overall","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","44.8","41.4","48.2","1069","Male","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","57.7","54.5","60.9","1301","Female","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","23.7","22.0","25.5","2986","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.3","22.8","27.8","1501","Male","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.1","19.6","24.5","1485","Female","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","24.9","23.1","26.7","2986","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.9","24.3","29.4","1501","Male","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","22.9","20.4","25.4","1485","Female","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","51.3","49.2","53.4","2986","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","47.8","44.9","50.7","1501","Male","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","55.1","52.1","58.0","1485","Female","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","26.7","24.9","28.5","2383","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","27.0","24.5","29.5","1177","Male","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","26.4","23.9","28.9","1206","Female","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","23.0","21.3","24.7","2383","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.1","22.6","27.5","1177","Male","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.0","18.7","23.3","1206","Female","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","50.3","48.3","52.3","2383","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","48.0","45.1","50.8","1177","Male","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","52.6","49.8","55.4","1206","Female","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","11.9","10.1","13.7","3297","Overall","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","13.9","11.3","16.4","1547","Male","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","10.1","8.5","11.7","1750","Female","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","18.1","16.3","20.0","3297","Overall","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.7","19.5","23.8","1547","Male","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","14.8","12.6","17.0","1750","Female","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","70.0","67.8","72.1","3297","Overall","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","64.5","61.6","67.4","1547","Male","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","75.1","72.6","77.6","1750","Female","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","13.9","12.0","15.8","2876","Overall","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.3","14.6","20.0","1398","Male","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","10.6","9.0","12.2","1478","Female","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","17.6","15.6","19.6","2876","Overall","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","20.0","17.2","22.8","1398","Male","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","15.2","13.0","17.4","1478","Female","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","68.5","65.5","71.5","2876","Overall","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","62.7","58.7","66.7","1398","Male","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","74.2","71.5","76.9","1478","Female","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.6","16.2","19.0","2915","Overall","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.2","17.1","21.3","1439","Male","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.1","14.1","18.1","1476","Female","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.5","18.0","21.0","2915","Overall","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.6","19.4","23.8","1439","Male","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","17.5","15.5","19.5","1476","Female","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","62.9","61.1","64.7","2915","Overall","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","59.2","56.5","61.9","1439","Male","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","66.5","64.0","69.0","1476","Female","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.5","15.7","19.3","2426","Overall","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","20.7","17.9","23.5","1090","Male","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","14.7","12.5","16.9","1336","Female","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.6","19.7","23.5","2426","Overall","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.5","22.5","28.5","1090","Male","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","18.4","15.9","20.9","1336","Female","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","60.9","58.6","63.2","2426","Overall","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","53.8","50.4","57.2","1090","Male","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","66.9","63.9","69.9","1336","Female","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.3","17.6","21.0","2956","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.4","18.9","24.0","1412","Male","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.3","15.0","19.6","1544","Female","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","22.8","21.0","24.6","2956","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.2","23.5","28.9","1412","Male","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","19.5","17.1","21.9","1544","Female","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","57.9","55.8","60.0","2956","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","52.4","49.3","55.5","1412","Male","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","63.2","60.3","66.1","1544","Female","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.9","18.5","21.2","3445","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.3","20.2","24.4","1604","Male","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.6","15.8","19.4","1841","Female","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.8","20.4","23.3","3445","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","25.0","22.9","27.2","1604","Male","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","18.9","17.1","20.8","1841","Female","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","58.3","56.6","60.0","3445","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","52.6","50.1","55.1","1604","Male","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","63.5","61.2","65.8","1841","Female","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","20.0","17.9","22.0","3584","Overall","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.7","19.0","24.4","1679","Male","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.3","15.7","20.9","1905","Female","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","21.2","19.5","22.9","3584","Overall","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","26.6","24.2","29.0","1679","Male","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Former","Percentage","16.2","14.2","18.2","1905","Female","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Cigarette Use (Adults)","Smoking Status","Never","Percentage","58.8","56.5","61.1","3584","Overall","All Ages","All Races","All Grades"
