"Table with row headers in column A and column headers in rows 5 and 6, and 60 and 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-8.  Median Household Income by State: 1984 to 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Households as of March of the following year.  Income in current and 2015 CPI-U-RS adjusted dollars. (28)  Beginning in 2010, standard errors were calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURRENT DOLLARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004(revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
Kansas,54865,3731,53444,2863,47820,4496,51485,1498,50003,1812,46147,1950,46054,1816,44717,1788,47877,1410,48497,1805,45552,1252,42027,985,41066,1749,44232,1326,42619,1047,41415,1115,41059,1168,37348,2078,36711,1617,36471,1614,32585,1460,30341,921,28322,1064,29770,1144,30346,1137,29295,934,29917,1179,26862,908,25566,1153,25583,900,23926,782,22788,1033,24629,912
Kentucky,42387,2269,42786,1580,44879,3924,42158,1874,41086,1900,39856,1847,41104,2823,42664,1313,41148,812,39452,1211,39485,1051,36699,898,35610,1218,36936,857,36762,874,38437,1009,36265,848,33738,1484,36252,1511,33452,1659,32413,1439,29810,1149,26595,1028,24376,1091,23485,1259,23764,1046,24780,1213,23283,1206,19907,801,20673,939,19874,1006,17361,748,17680,1079
Louisiana,45922,2140,42406,1862,46425,2543,39622,2857,39085,1611,40658,1929,39300,3248,45433,1813,39563,1486,41313,937,36488,1425,37236,1297,36429,1243,33507,1103,34008,1258,33322,1195,30718,828,32654,1244,31735,1660,33260,1551,30262,1290,27949,1090,25676,1501,26312,1164,25439,1142,25299,1156,22405,1580,22861,1857,20497,1474,21349,858,20890,956,21179,728,18949,880
Maine,50756,1929,51710,2171,54957,3863,50121,1953,49158,2247,49693,1983,47931,1687,47502,1739,47228,1436,47894,1398,45642,1797,43923,1433,41329,1223,37113,945,36853,846,36612,952,37266,853,38862,1319,35640,1049,32772,1301,34696,1211,33858,1088,30316,1537,27438,1203,29617,1026,27868,1253,27464,1572,28221,1389,26402,942,23600,1019,23424,970,20519,803,20648,884
Maryland,73594,2692,76165,4272,69353,2970,65262,4386,71836,1851,68876,2125,64201,2297,64186,1674,63711,1769,65630,1661,63668,1601,60512,1477,57103,1692,52314,1223,56407,1532,53530,1652,54535,1400,52205,2217,50016,2161,46685,1476,43993,2565,41041,1627,39198,1400,39939,1282,37203,1626,36952,1417,38857,1596,36016,1187,36552,1196,34970,1388,30604,1036,30136,966,29708,1151
Massachusetts,67861,2790,63151,2662,62529,5303,62963,3456,63656,3773,63313,3226,60934,2193,59373,1749,60320,1674,58463,2231,55330,2079,56017,1754,52019,1667,50955,953,49855,1153,52253,1518,46753,1357,44005,2023,42345,1961,42023,1383,39494,1932,38574,1475,40500,1060,37064,949,36359,738,35714,790,36247,828,36086,704,33213,839,32241,716,30339,735,28207,810,26959,693
Michigan,54203,2005,52005,1199,56567,1587,48801,2229,50015,1515,48879,1844,46276,1737,45994,1003,49788,1154,49370,798,48647,966,45933,915,42256,858,45022,950,42715,1115,45047,868,45512,1095,46089,1026,41821,917,38742,1108,39225,1143,36426,994,35284,685,32662,682,32267,761,32117,689,29937,663,30775,790,29472,607,27702,724,26605,648,24242,838,22965,635
Minnesota,68730,3063,67244,3207,64324,3992,60907,1843,61795,1339,57820,2380,52321,1606,56090,1237,54925,1427,58058,1888,56211,1218,54215,1244,56104,1070,52823,1228,54622,1196,52681,1134,54251,1703,47038,1527,47926,2115,42564,1510,40991,1225,37933,1848,33644,1360,33682,1212,30981,1297,29479,1146,31465,1028,30185,1278,29087,1041,28082,1113,26443,1150,23856,1022,24436,914
Mississippi,40037,1071,35521,1294,32338,2730,40850,2144,36641,1546,41090,2366,38160,2830,35078,1304,36446,830,37279,951,34733,1583,32875,1292,34755,1132,32728,1113,30882,766,30161,1186,34299,1354,32478,1408,29120,1158,28499,1386,26677,1316,26538,1028,25400,752,22191,1229,20570,1074,19475,1053,20178,802,19917,947,18166,888,18513,901,16513,639,16413,619,15430,732
Missouri,59196,2607,56630,3030,46303,4134,50311,3698,49764,2042,45774,2157,45817,2157,48769,1595,46038,1146,46005,1104,44579,1402,42986,989,42137,1073,43762,875,42776,1074,41339,1204,45097,1187,41383,1191,40201,1868,36553,2060,34265,1513,34825,1373,30190,1442,28682,1466,27361,1451,27926,1415,27332,1394,26497,746,23443,1088,23720,1167,21925,772,21939,608,20775,715
Montana,51395,2937,51102,1778,43201,5946,44132,3252,45088,2565,40277,2036,41280,1847,40437,1002,42900,1764,43655,1699,41105,697,37313,1161,33956,709,34108,1067,34835,1212,32126,737,32777,1001,31038,966,31577,1133,29212,1145,28684,1566,27757,1105,27631,1246,26470,965,26525,728,24827,890,23375,983,23692,1311,22231,829,20474,799,20328,749,20236,800,19536,720
Nebraska,60474,2937,56870,2254,57623,4217,53774,1815,52196,2699,55616,2693,52504,1761,49595,1657,50728,1254,49174,1379,48145,1490,47923,1447,43786,1332,43974,1306,42796,1038,43611,1116,41750,1018,38626,1366,36413,1549,34692,1528,34014,1500,32929,1155,31794,1116,31008,833,30048,1071,29549,1007,27482,1128,26319,1521,25159,960,23268,761,21772,814,21799,914,21397,765
Nevada,52008,2272,49875,1836,51846,3178,45369,2830,47333,2533,47043,2669,51200,1922,51434,1097,54744,2658,54058,1294,52282,1252,48209,1680,47204,1382,45184,1554,44958,1161,45403,1130,45758,1011,41461,1764,39756,1225,38854,1576,38540,1615,36084,1314,35871,1534,35814,1078,31908,796,32937,1564,32023,1179,29340,948,27983,956,26878,1128,26217,895,23274,1005,25776,1018
New Hampshire,75675,3519,73397,3253,69099,3967,71322,3261,67819,2224,65880,1652,66633,1651,64131,1856,66176,3204,67576,1846,61970,1479,56984,2026,56815,1324,55567,1304,55321,1289,51331,719,50926,1243,46055,1952,44958,1866,40998,1604,39407,1734,39171,1556,35245,1837,37964,1620,39436,1922,36032,1339,40805,1313,37532,1371,34625,1129,32338,1450,30548,829,26403,1074,25914,735
New Jersey,68357,3132,65243,2693,63754,4464,61782,3058,66692,1960,62338,3028,62968,2443,64777,1919,65306,2297,60508,1458,68059,1979,63368,2257,55275,1283,56045,1023,54568,1605,51771,933,50405,991,49734,1405,49826,1436,48021,1424,47468,1217,43924,1400,42280,1064,40500,986,39000,841,40049,1033,38734,864,39120,948,36287,658,34241,794,31715,842,30980,643,27776,800
New Mexico,45119,2885,46686,3312,40166,4408,42127,2670,43424,2267,41982,2154,45134,3016,43542,1494,42102,1381,44356,1474,40028,1257,38947,1700,39562,1584,35105,1142,35457,1061,33124,1238,35093,1248,32574,1746,31543,1398,30086,1157,25086,1091,25991,1100,26905,1382,26758,853,25860,1347,26540,1195,25039,1048,22602,1029,19296,833,20758,621,19845,693,20423,1025,20630,1029
New York,58005,2205,54310,1781,49966,2267,53843,1642,47680,1585,50636,1006,49781,1320,50216,599,50461,682,48944,918,48222,989,47176,827,44649,792,42788,872,41966,580,42114,600,40744,581,39989,879,37394,777,35798,634,35410,746,33028,716,31899,477,31697,556,31051,529,31794,538,31591,511,31496,453,28915,668,26384,456,25025,474,23639,523,22027,417
North Carolina,50797,1343,46784,1710,46337,2974,41208,2058,41553,1294,45206,1560,43830,1923,41906,576,42930,846,43513,1072,39797,815,42056,964,40238,812,37279,941,36515,716,38162,951,38317,806,37254,960,35838,1022,35840,917,35601,1008,31979,888,30114,670,28820,653,27771,616,26853,510,26329,556,26406,517,24415,536,22760,542,21861,698,21451,585,20569,641
North Dakota,57415,3233,60730,3138,59152,3451,52888,2863,55766,2123,56361,2960,51006,2311,50075,1738,49631,1188,47205,1280,41047,1405,42192,1221,39220,1251,40410,852,36200,824,35793,804,35996,1065,32663,1383,30304,1179,31661,1361,31470,1184,29089,1217,28278,1115,28118,835,26959,901,25892,932,25264,1003,25229,903,24092,1009,22576,905,21508,785,21205,809,20771,1038
Ohio,53301,1957,49644,1393,50748,2448,46398,1386,44375,1723,44648,1200,45886,1493,45879,626,46934,848,49099,1085,45900,633,44203,1046,43055,977,43520,930,42684,777,41785,661,42962,732,39489,989,38925,1576,36134,894,34070,1063,34941,988,31855,584,31285,658,31404,587,29790,759,30013,720,29021,655,27740,636,25773,555,25115,588,25174,564,23123,492
Oklahoma,47077,1937,47199,2775,46162,3442,43777,4085,48407,2821,48455,2395,43103,2073,45878,1139,46111,931,43216,1453,38838,1597,37645,1449,39614,1122,35902,781,36458,613,35609,690,32432,709,32683,1491,33727,1232,31351,1025,27437,1089,26311,880,26991,1213,26260,1492,25284,1075,25462,1079,24384,1044,23667,1236,23667,756,21691,884,20948,871,21205,764,21148,718
Oregon,60834,2374,58875,2998,48999,2887,56307,2022,51775,2330,51526,1607,50602,1505,49098,1644,51727,1374,50236,1357,47091,1396,44159,1391,40994,1051,41638,965,41802,855,41273,752,42499,936,40619,1252,39067,1927,37247,1788,35492,1274,36374,970,31456,1128,33138,1160,31927,2039,30190,1087,29281,966,28529,1435,27748,1150,25038,1092,24773,1002,21894,1042,21399,745
Pennsylvania,60389,2227,55173,2266,55156,2936,53952,1606,51904,1405,49910,1694,48314,1508,48172,937,51402,589,48437,932,48477,869,46300,745,44106,1039,42933,778,42498,795,43499,723,42176,704,37758,1141,39015,1080,37517,964,34899,974,34524,683,32066,654,30995,694,29882,667,30367,614,29005,688,28690,684,26742,497,25424,541,23807,495,22877,538,20346,499
Rhode Island,55701,3247,58633,4001,56323,3852,57812,2135,56065,2561,49033,2283,51623,1730,51634,1446,53241,2399,54210,1849,53736,1823,49484,1456,47935,1972,44711,1249,42417,875,45723,1147,42197,1018,42719,1980,40686,2657,34797,2235,36986,1036,35359,1373,31928,1321,33509,1547,30432,1433,30836,1091,31968,1175,30124,1354,29842,1584,28292,1440,26540,1060,24625,900,21612,848
South Carolina,46360,2266,44929,2244,43563,2388,43749,2970,44401,2157,40084,1702,41698,1460,41101,1113,42155,1121,44213,1553,39617,1347,40230,1204,38691,1021,38479,1121,37812,1224,37736,1023,37570,937,36462,1728,33267,1310,34262,1609,34665,1405,29071,1400,29846,1139,26053,960,27578,1434,27463,1137,28735,1383,23798,1059,25533,1150,25049,1136,21968,864,20036,862,20309,934
South Dakota,55065,2604,53053,3542,53413,2917,54453,3030,49415,1705,47223,2147,45352,2045,45826,1289,51600,995,46418,900,45427,1641,43151,1369,41107,995,39522,1004,37873,953,39671,856,36475,687,35828,944,32786,1013,29694,1145,29526,1003,29578,1610,29733,1185,27737,1040,26259,669,24639,780,24571,858,24108,999,22294,703,21151,597,19898,664,18142,702,19409,928
Tennessee,47330,1708,43716,2326,43361,3435,42499,2934,42995,2407,42279,2556,38591,1257,40517,988,39702,1211,41195,1116,40693,755,39406,1191,38072,1057,37523,1181,37030,1111,35783,791,34096,930,36522,1310,34091,1307,30636,1358,30790,1087,29015,1268,28639,1028,25102,831,24318,913,24453,915,22592,869,22611,1305,20856,1017,21179,795,18256,884,17778,557,16782,576
Texas,56473,1289,53875,1344,51406,1360,53027,1613,51926,950,49047,1153,47266,1159,47475,743,46490,674,46053,700,43307,828,41422,420,41397,549,39271,762,40149,563,40860,512,38609,785,38688,1020,35783,662,35075,880,33072,763,32039,634,30755,655,28727,613,27953,634,27733,626,28228,716,25886,559,24963,582,24721,637,24162,514,23743,546,23024,533
Utah,66258,2462,63383,3231,61047,1553,62967,4137,58341,2944,55493,1659,56701,1962,58491,1588,62537,1526,53529,1218,54628,1671,54813,1303,50871,927,49275,902,47861,1146,47342,1601,47550,1041,46050,1615,44299,1375,42775,1785,37038,1330,36480,919,35716,1041,35786,1242,34251,1145,28016,1359,30142,1018,30717,1014,26313,909,26529,1194,26281,810,25238,702,23057,735
Vermont,59494,2622,60708,3098,65513,4013,54842,2981,55582,3030,51862,2007,55928,2247,52318,1438,50706,982,47390,1398,51981,1266,50704,1309,47329,1270,43261,977,42999,830,40794,944,39594,921,41584,1407,39372,1591,35053,1727,32358,1250,33824,1242,35802,1906,31065,956,32755,1333,29155,1222,31098,1331,31295,1136,28988,1077,25415,1374,24599,1003,26000,942,22578,983
Virginia,61486,2439,66155,2946,65907,2740,67620,2542,64632,2166,62616,1773,60367,1965,60501,1193,61985,1447,59161,1365,57119,1592,51914,1185,51141,1116,54783,1563,49631,1290,50241,1148,47163,1065,45693,1770,43354,2195,42957,1897,39211,1459,36222,1391,37647,1531,36433,1387,38198,1359,36137,1336,35073,1048,34118,1205,32648,1319,29996,1013,29715,1074,28429,1324,26525,874
Washington,67243,3253,59068,2195,63922,3386,60106,2198,62187,2249,56850,1983,56163,2060,60392,1199,56631,2021,58080,1736,54723,1244,50646,1045,49922,1068,47508,1395,45183,964,42490,1264,42525,1211,45473,2080,47421,1379,44562,1715,36676,1608,35568,1252,33533,1190,35655,1111,33900,1247,33970,1185,32112,1239,31961,1472,32327,1030,27319,1108,26881,950,24000,756,25017,823
West Virginia,42824,3132,39552,2195,43069,3454,40241,2690,43553,2774,41821,1766,42777,2518,40490,913,37994,1404,42091,989,38419,1214,36445,1076,33373,1173,32763,993,29359,699,29673,674,29411,645,29297,1149,26704,780,27488,1315,25247,1301,24880,870,23564,1217,22421,981,20271,892,23147,918,22137,1142,21677,843,19353,930,17207,778,16464,905,15983,828,16843,608
Wisconsin,55425,1487,58080,2154,51726,2629,55258,2338,53079,1709,52058,2067,50351,1435,51237,806,51200,852,51277,1040,51692,1146,44650,1178,45732,1337,46269,978,45903,946,45346,1123,45088,952,45667,1878,41327,1271,39595,1150,40001,1780,40955,1318,35388,1272,31766,1340,33308,1097,31133,1018,30711,897,29123,1240,29575,978,26369,1410,26430,803,23246,1161,20743,821
Wyoming,60925,2024,55690,2019,67441,3988,55700,3168,57512,2820,54509,2277,52201,2181,52470,2131,53337,1577,48744,1363,47041,1503,44718,1508,45397,1146,42555,1000,39763,976,39719,1166,39629,1056,37248,1285,35250,1316,33423,1441,30953,858,31529,1136,33140,1848,29442,1167,30209,1420,29050,1382,29460,991,29521,1289,26419,1095,27590,1458,23559,863,22081,1049,23816,731
2015 DOLLARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004(revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
,"Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error"
United States,56516,321,53718,392,54525,665,52850,281,52666,216,52751,265,53568,353,54988,235,55376,151,57423,160,56663,243,56224,188,55629,246,55823,242,55871,183,56531,173,57790,182,57909,270,56510,334,54506,252,53407,269,52664,304,51065,233,50478,236,50725,240,51145,244,52684,269,53367,294,52432,268,52032,254,51388,266,49631,269,48720,222
Alabama,44509,3419,42327,1531,48150,5608,42107,2356,44869,2611,44884,2130,44499,2605,44166,999,48962,1826,48254,1623,44615,1192,45088,1475,45961,1635,48010,2036,49540,1399,47069,1347,48754,1475,51584,1692,52704,1899,47044,2367,45597,1893,40169,1957,43044,2467,40527,1758,42731,1752,41332,1813,41096,1825,39295,1975,38418,1756,39400,2290,39489,1827,38525,1597,37624,1315
Alaska,75112,3485,67707,3157,73743,5541,62209,3359,65705,2931,60525,3910,62887,2598,68054,1934,70443,2534,72010,1810,66323,1757,67833,1615,69092,2599,66801,1264,69527,1414,76793,2693,72733,1595,73135,3168,73668,3087,70692,1853,79419,2870,74113,3103,71804,2365,69367,2655,69213,1914,68947,3093,69144,2863,66476,2544,63753,2278,66352,2989,64719,2099,73090,2288,70327,3202
Arizona,52248,2008,49311,2307,53533,4442,51489,4916,48564,3016,51240,2555,50981,2421,50528,1371,51645,1238,53973,1778,54848,1465,54912,1543,55017,1434,53050,1832,52347,1321,57169,1929,54753,1665,52643,1612,53901,1824,48224,1910,47606,1917,47699,2102,49528,1223,49297,1810,48609,1801,52182,1523,51419,2008,52714,2234,50911,1624,53406,1781,52632,1482,50175,1563,46568,1324
Arkansas,42798,1572,44974,2549,40066,2444,40619,2431,40279,2903,43527,1949,41948,2679,40363,1004,43578,1314,46634,1541,43563,902,44490,1589,43897,1247,41240,1000,42668,1025,44631,1531,40872,1062,42237,1460,40204,1686,38535,1700,40813,1472,39895,1544,40462,1494,37226,1369,39542,2315,39786,1329,40091,1726,39570,1689,38849,1360,37589,2013,38659,1579,36671,1605,34068,1626
California,63636,1711,60557,895,61860,1843,58537,1244,58863,1278,56242,1452,59011,1285,62011,684,62764,913,63712,706,65031,817,62813,558,61763,828,63532,1055,62496,1009,63270,973,64432,944,62083,1000,59488,839,58466,1273,58402,1231,57197,1117,55919,980,55054,1052,57790,1041,57152,1163,58573,994,60942,1141,58329,1221,60188,1074,59877,1176,56698,735,54962,791
Colorado,66596,3682,61010,2417,69103,4201,64482,2849,59105,2796,61788,2691,65480,2697,61786,1762,67089,2089,69893,1159,65475,1792,61228,1562,63850,1995,64356,1492,63625,1929,66129,1593,66392,1702,68554,2110,67720,1578,63679,2863,61620,2000,62911,2399,59879,2289,55725,2535,53785,2436,53476,2114,54074,1594,49490,2581,50485,2475,52861,2146,56125,1911,59221,1786,56079,1750
Connecticut,72889,4449,70242,2668,70506,3295,68969,2592,66323,2945,68939,3176,71747,2277,71641,2550,71205,2973,73322,2342,73359,2542,68979,1982,69138,2068,70832,2012,70334,1805,71416,1660,69051,1868,71992,3267,67588,3964,64787,2930,63379,4645,62195,3507,65045,2524,63849,2682,67622,3265,71565,3300,68391,3690,78135,2939,69742,2490,65611,2719,67537,3313,65332,2372,65099,2691
Delaware,57756,3392,57588,2973,55039,4426,53135,2530,50555,2040,57605,1839,60023,2451,57570,1967,55815,1528,62403,2468,61644,2034,62182,1306,60291,1783,63170,1776,65411,2220,66403,1965,69317,2075,66350,3246,60249,2548,63384,3037,59150,2110,53981,2856,56777,1885,58271,1372,59073,2306,55320,1886,54199,1958,59205,2092,58749,2248,58387,1747,52893,2502,48290,2870,56118,2232
